"Year","prop","meanMIC","beta0mean","beta0X25","beta0X975"
"2003",0.00699300699300699,2.57746478873239,2.05761035318706,1.97945723849246,2.13964398472271
"2004",0.00641025641025641,2.53548387096774,2.01353788841557,1.93503589160484,2.09451831496899
"2005",0.0114942528735632,2.57558139534884,2.01290042268034,1.93565904042761,2.08870060037917
"2006",0.00930232558139535,2.71830985915493,2.1880396206717,2.11618763422619,2.25732999118586
"2007",0.00568181818181818,2.82857142857143,2.30581427590072,2.22717570961265,2.38632368883255
"2008",0.00666666666666667,2.68456375838926,2.14604419111792,2.05875548788347,2.23098427900188
"2009",0.0109289617486339,2.75138121546961,2.22348357794077,2.15472362034013,2.29749825481533
"2010",0.00636942675159236,2.89102564102564,2.38028827224753,2.30577373040043,2.46539547001797
"2011",0.0132450331125828,2.76510067114094,2.23533636171239,2.15679525019822,2.31670439176072
"2012",0.012987012987013,2.86184210526316,2.34082349633434,2.25327929142132,2.42447588586958
"2013",0.0340136054421769,2.88732394366197,2.36361645972293,2.27200345013266,2.44531261063031
"2014",0,2.92105263157895,2.39662849920674,2.29525606333952,2.49919275979586
"2015",0.028169014084507,2.91304347826087,2.39249812451658,2.3045934102781,2.47919446868937
"2016",0.0875912408759124,2.92,2.39133627064266,2.29420932140533,2.48419689313347
"2017",0.0666666666666667,2.92857142857143,2.42015308061263,2.32442456181293,2.50820818657608
"2018",0.0763358778625954,2.99173553719008,2.48872435701217,2.38971571398118,2.58143173679085
"2019",0.0891089108910891,2.93478260869565,2.42867365140811,2.32519729371802,2.52451628137986
"2020",0,3,2.41212686775317,1.74890427336112,3.11079120527085
"2022",0.185185185185185,2.84848484848485,2.33850002881847,2.218798210081,2.46581771924812
"2023",0.152542372881356,2.9,2.39180386460075,2.24906363833404,2.54956906887645
