"Specimen.ID","Year","Serotype","Region.Name","Equiv","Rslt","Concl","ConclPred"
"AM19158",2003,"I 4,[5],12:i:-","Region 6","=",1,"S",""
"AM35887",2008,"I 4,[5],12:i:-","Region 4","=",0.5,"S",""
"AM42772",2010,"I 4,[5],12:i:-","Region 4","=",0.5,"S",""
"AM25930",2006,"I 4,[5],12:i:-","Region 5","=",0.5,"S",""
"AM23816",2005,"I 4,[5],12:i:-","Region 1","=",1,"S",""
"AM35655",2008,"I 4,[5],12:i:-","Region 1","=",0.5,"S",""
"AM26905",2006,"I 4,[5],12:i:-","Region 5","=",0.5,"S",""
"AM34799",2008,"I 4,[5],12:i:-","Region 1","=",0.5,"S",""
"AM17658",2003,"I 4,[5],12:i:-","Region 2","=",0.5,"S",""
"AM35571",2008,"I 4,[5],12:i:-","Region 4","=",0.5,"S",""
"AM36668",2008,"I 4,[5],12:i:-","Region 1","=",1,"S",""
"AM40160",2009,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"AM06378",1999,"I 4,[5],12:i:-","Region 4","<=",0.5,"S",""
"AM37757",2008,"I 4,[5],12:i:-","Region 3","=",0.5,"S",""
"AM39156",2009,"I 4,[5],12:i:-","Region 3","=",1,"S",""
"AM17098",2003,"I 4,[5],12:i:-","Region 5","=",0.5,"S",""
"AM50604",2012,"I 4,[5],12:i:-","Region 10","=",0.25,"S",""
"AM26968",2006,"I 4,[5],12:i:-","Region 3","=",0.5,"S",""
"AM36248",2008,"I 4,[5],12:i:-","Region 5","=",0.5,"S",""
"AM21083",2004,"I 4,[5],12:i:-","Region 1","=",0.5,"S",""
"AM23991",2005,"I 4,[5],12:i:-","Region 2","=",1,"S",""
"AM21263",2004,"I 4,[5],12:i:-","Region 5","=",0.5,"S",""
"AM18944",2003,"I 4,[5],12:i:-","Region 8","=",1,"S",""
"AM25968",2006,"I 4,[5],12:i:-","Region 9","=",0.5,"S",""
"AM11228",2001,"I 4,[5],12:i:-","Region 10","=",2,"S",""
"AM20258",2004,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"AM25742",2006,"I 4,[5],12:i:-","Region 5","=",0.5,"S",""
"AM34770",2008,"I 4,[5],12:i:-","Region 6","=",0.5,"S",""
"AM27459",2006,"I 4,[5],12:i:-","Region 5","=",0.5,"S",""
"AM33552",2007,"I 4,[5],12:i:-","Region 1","=",1,"S",""
"AM15952",2002,"I 4,[5],12:i:-","Region 3","=",0.5,"S",""
"AM48765",2011,"I 4,[5],12:i:-","Region 1","=",0.5,"S",""
"AM24444",2005,"I 4,[5],12:i:-","Region 3","=",1,"S",""
"AM22408",2004,"I 4,[5],12:i:-","Region 2","=",0.5,"S",""
"AM35255",2008,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"AM27449",2006,"I 4,[5],12:i:-","Region 5","=",0.5,"S",""
"AM28523",2006,"I 4,[5],12:i:-","Region 5",">",8,"R",""
"AM15206",2002,"I 4,[5],12:i:-","Region 1","=",0.5,"S",""
"AM21590",2004,"I 4,[5],12:i:-","Region 1","=",0.5,"S",""
"AM33505",2007,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"AM41775",2009,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"AM40635",2009,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"AM33548",2007,"I 4,[5],12:i:-","Region 1","=",1,"S",""
"AM27180",2006,"I 4,[5],12:i:-","Region 4","=",0.5,"S",""
"AM41198",2009,"I 4,[5],12:i:-","Region 3",">",8,"R",""
"AM43228",2010,"I 4,[5],12:i:-","Region 9","=",1,"S",""
"AM48398",2011,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"AM34339",2007,"I 4,[5],12:i:-","Region 3","=",1,"S",""
"AM15410",2002,"I 4,[5],12:i:-","Region 5","=",0.5,"S",""
"AM08338",2000,"I 4,[5],12:i:-","Region 4","<=",0.5,"S",""
"AM35010",2008,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"AM33139",2007,"I 4,[5],12:i:-","Region 4","=",0.5,"S",""
"AM51098",2012,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"AM35744",2008,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"AM25797",2006,"I 4,[5],12:i:-","Region 1","=",0.5,"S",""
"AM29072",2006,"I 4,[5],12:i:-","Region 4","=",0.5,"S",""
"AM43361",2010,"I 4,[5],12:i:-","Region 1","=",1,"S",""
"AM38492",2009,"I 4,[5],12:i:-","Region 1","=",1,"S",""
"AM31350",2007,"I 4,[5],12:i:-","Region 5","=",0.5,"S",""
"AM28853",2006,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"AM41814",2009,"I 4,[5],12:i:-","Region 9","=",1,"S",""
"AM39520",2009,"I 4,[5],12:i:-","Region 3","=",1,"S",""
"AM21327",2004,"I 4,[5],12:i:-","Region 2","=",0.5,"S",""
"AM05433",1999,"I 4,[5],12:i:-","Region 4","<=",0.5,"S",""
"AM19090",2003,"I 4,[5],12:i:-","Region 1","=",1,"S",""
"AM29293",2006,"I 4,[5],12:i:-","Region 5","=",0.5,"S",""
"AM45960",2010,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"AM29248",2006,"I 4,[5],12:i:-","Region 5","=",0.5,"S",""
"AM17862",2003,"I 4,[5],12:i:-","Region 6","=",0.5,"S",""
"AM44686",2010,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"AM33779",2007,"I 4,[5],12:i:-","Region 3","=",1,"S",""
"AM29706",2006,"I 4,[5],12:i:-","Region 3","=",1,"S",""
"AM23106",2005,"I 4,[5],12:i:-","Region 2","=",0.5,"S",""
"AM49704",2011,"I 4,[5],12:i:-","Region 2","=",0.5,"S",""
"AM24334",2005,"I 4,[5],12:i:-","Region 5","=",0.5,"S",""
"AM27460",2006,"I 4,[5],12:i:-","Region 5","=",0.5,"S",""
"AM34718",2008,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"AM41521",2009,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"AM45897",2010,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"AM28561",2006,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"AM14438",2002,"I 4,[5],12:i:-","Region 5","=",0.5,"S",""
"AM17576",2003,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"AM32706",2007,"I 4,[5],12:i:-","Region 4","=",0.5,"S",""
"AM37513",2008,"I 4,[5],12:i:-","Region 5","=",0.5,"S",""
"AM33261",2007,"I 4,[5],12:i:-","Region 4","=",0.5,"S",""
"AM15958",2002,"I 4,[5],12:i:-","Region 3","=",0.5,"S",""
"AM33073",2007,"I 4,[5],12:i:-","Region 3","=",1,"S",""
"AM20872",2004,"I 4,[5],12:i:-","Region 6","=",0.5,"S",""
"AM27476",2006,"I 4,[5],12:i:-","Region 9","=",0.5,"S",""
"AM44599",2010,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"AM45894",2010,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"AM45868",2010,"I 4,[5],12:i:-","Region 1","=",1,"S",""
"AM33221",2007,"I 4,[5],12:i:-","Region 3","=",1,"S",""
