beta0X25,beta0X975,beta0mean,beta1X25,beta1X975,beta1mean,mu0X25,mu0X975,mu0mean,ga0X25,ga0X975,ga0mean,ga1X25,ga1X975,ga1mean,pX25,pX975,pmean
-1.481470769,-1.180389999,-1.330179297,3.000529616,5.861252995,3.888407839,-1.636087429,-0.879079593,-1.206525435,-1.71763574,-0.904380541,-1.245173208,-0.00999769,0.089242775,0.038647773,0.009448991,0.049131582,0.030825187
-1.340444828,-1.055745298,-1.189372529,2.980904809,6.380125534,4.149219058,-1.550361987,-0.811118652,-1.167877662,-1.71763574,-0.904380541,-1.245173208,-0.00999769,0.089242775,0.038647773,0.010718783,0.048470439,0.030469399
-1.57608109,-1.220552439,-1.403164723,2.990846075,6.552562197,3.914910955,-1.461394529,-0.790364277,-1.129229889,-1.71763574,-0.904380541,-1.245173208,-0.00999769,0.089242775,0.038647773,0.000619105,0.045348026,0.030698504
-1.431896547,-1.102195395,-1.260417217,3.062728053,6.323297012,4.212505129,-1.358980532,-0.798963805,-1.090582116,-1.71763574,-0.904380541,-1.245173208,-0.00999769,0.089242775,0.038647773,0.014350239,0.062762546,0.032246985
-1.300611304,-1.115841423,-1.201933865,3.247070686,5.746408136,4.206219002,-1.310610295,-0.754138998,-1.051934343,-1.71763574,-0.904380541,-1.245173208,-0.00999769,0.089242775,0.038647773,0.025046294,0.059348787,0.035290346
-0.967072636,-0.749218746,-0.855057927,3.073850431,5.869339912,3.816518542,-1.290428356,-0.700037313,-1.013286571,-1.71763574,-0.904380541,-1.245173208,-0.00999769,0.089242775,0.038647773,0.00880325,0.053864014,0.031842927
-1.016682178,-0.821759915,-0.923958319,2.995051191,5.346043673,3.768860221,-1.30073778,-0.606576988,-0.974638798,-1.71763574,-0.904380541,-1.245173208,-0.00999769,0.089242775,0.038647773,0.022156502,0.050696844,0.033406337
-0.921819697,-0.66074179,-0.782530824,2.94598196,6.681811481,4.093048195,-1.30326927,-0.558355186,-0.935991025,-1.71763574,-0.904380541,-1.245173208,-0.00999769,0.089242775,0.038647773,0.004631375,0.062527307,0.031703055
-0.916635436,-0.684902279,-0.802908946,3.05083819,5.644421948,3.83917971,-1.305019481,-0.521915463,-0.897343252,-1.71763574,-0.904380541,-1.245173208,-0.00999769,0.089242775,0.038647773,0.010022082,0.055779624,0.030861778
-1.058516378,-0.821856987,-0.934075805,3.0724549,5.917742526,3.930943665,-1.307676367,-0.439640091,-0.858695479,-1.71763574,-0.904380541,-1.245173208,-0.00999769,0.089242775,0.038647773,0.022196009,0.091146213,0.040688428
-0.751985093,-0.516353889,-0.645593544,2.534805845,5.921799724,3.927692847,-1.282568958,-0.395472188,-0.820047706,-1.71763574,-0.904380541,-1.245173208,-0.00999769,0.089242775,0.038647773,5.35417339893909e-06,0.044150334,0.024486672
-0.609314646,-0.409306146,-0.507119988,3.055532796,5.863893817,4.028907601,-1.29338198,-0.298997328,-0.781399933,-1.71763574,-0.904380541,-1.245173208,-0.00999769,0.089242775,0.038647773,0.002830018,0.043231579,0.025594429
-0.932825836,-0.714401974,-0.810743362,3.133329537,5.776898381,3.922872883,-1.310790588,-0.181263264,-0.742752161,-1.71763574,-0.904380541,-1.245173208,-0.00999769,0.089242775,0.038647773,0.003231727,0.067098881,0.031590239
-0.775635086,-0.612318542,-0.697483448,3.002778044,3.956940009,3.293368858,-1.315364122,-0.11977333,-0.704104388,-1.71763574,-0.904380541,-1.245173208,-0.00999769,0.089242775,0.038647773,0.026696806,0.093552288,0.046854198
